tech company,employer provided healthcare with mental benefits,employer provided mental healthcare awareness,current mental health disorder,mental health diagnosis,family history of mental illness,discussed personal mental health with employer,anonymity protected when using benefits,ease of asking for leave,comfortable discussing a mental health issue with direct supervisor(s),comfortable discussing a mental health issue with coworkers,Number of employees,how well do you think the tech industry supports employees with mental health issues,observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace,Age,Gender,Country of residence,Race,year
,,,Don't Know,,No,,,,,,,3.0,I've always been self-employed,I've always been self-employed,38.0,female,Georgia,,2018
1.0,No,No,No,,I don't know,0.0,No,Somewhat easy,Maybe,Maybe,6-25,1.0,Maybe/Not sure,Maybe/Not sure,30.0,m,Turkey,,2018
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced","Yes, I experienced",30.0,Genderfluid,United States of America,White,2018
1.0,No,No,Possibly,,Yes,0.0,I don't know,I don't know,No,Maybe,6-25,2.0,"Yes, I experienced",Maybe/Not sure,36.0,Male,Poland,,2018
0.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Very easy,Yes,Yes,More than 1000,4.0,Maybe/Not sure,Maybe/Not sure,24.0,Female,United States of America,White,2018
0.0,Yes,Yes,Possibly,,Yes,0.0,Yes,I don't know,No,No,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,41.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,100-500,2.0,"Yes, I observed","Yes, I experienced",48.0,Female,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Maybe,Maybe,More than 1000,2.0,"Yes, I experienced","Yes, I observed",31.0,Man,United States of America,White,2018
1.0,Yes,Yes,Possibly,,Yes,1.0,I don't know,Somewhat easy,No,Maybe,100-500,3.0,Maybe/Not sure,"Yes, I experienced",65.0,male,Canada,,2018
0.0,Not eligible for coverage / NA,,Possibly,,I don't know,0.0,I don't know,Difficult,No,No,More than 1000,2.0,No,No,34.0,Nonbinary/femme,United States of America,White,2018
1.0,I don't know,No,No,,I don't know,0.0,I don't know,Difficult,Yes,Maybe,100-500,3.0,No,No,55.0,Female,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced",Maybe/Not sure,33.0,Female,United States of America,White,2018
1.0,Yes,No,Yes,Yes,No,0.0,I don't know,Somewhat difficult,No,No,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",41.0,F,United States of America,White,2018
0.0,Yes,No,Yes,Yes,I don't know,0.0,I don't know,Neither easy nor difficult,No,No,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,24.0,Female,United States of America,White,2018
0.0,Not eligible for coverage / NA,,Possibly,,Yes,0.0,I don't know,Difficult,No,Maybe,100-500,1.0,No,Maybe/Not sure,27.0,Female,United States of America,White,2018
1.0,Yes,Yes,Don't Know,,No,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,26-100,3.0,No,Maybe/Not sure,30.0,Male,Canada,,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,100-500,4.0,"Yes, I experienced","Yes, I experienced",37.0,male,United States of America,White,2018
1.0,No,,Yes,Yes,No,0.0,I don't know,Difficult,No,No,6-25,1.0,Maybe/Not sure,No,61.0,male,United States of America,White,2018
,,,Don't Know,,Yes,,,,,,,2.0,No,Maybe/Not sure,45.0,M,Netherlands,,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,More than 1000,2.0,"Yes, I experienced",No,29.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,I don't know,Maybe,Yes,100-500,2.0,"Yes, I experienced",Maybe/Not sure,41.0,Male,United States of America,White,2018
1.0,Not eligible for coverage / NA,,No,,No,0.0,I don't know,I don't know,No,No,26-100,3.0,Maybe/Not sure,Maybe/Not sure,39.0,Male,Spain,,2018
0.0,I don't know,No,Yes,Yes,Yes,0.0,Yes,Somewhat difficult,Maybe,No,500-1000,2.0,"Yes, I observed",Maybe/Not sure,30.0,Male,United States of America,White,2018
0.0,I don't know,No,No,,Yes,0.0,I don't know,Difficult,No,No,More than 1000,1.0,No,Maybe/Not sure,46.0,Male,Italy,,2018
1.0,I don't know,No,Don't Know,,Yes,0.0,I don't know,Somewhat easy,No,No,6-25,2.0,Maybe/Not sure,Maybe/Not sure,42.0,Male,Spain,,2018
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,Yes,Maybe,More than 1000,3.0,No,"Yes, I observed",29.0,Woman,United States of America,,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,No,Very easy,Maybe,Yes,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",34.0,Female,Australia,,2018
,,,Yes,Yes,I don't know,,,,,,,3.0,"Yes, I observed",No,52.0,Male,United States of America,White,2018
1.0,Yes,Yes,Possibly,,I don't know,1.0,Yes,I don't know,Maybe,Maybe,100-500,3.0,Maybe/Not sure,Maybe/Not sure,36.0,male,United States of America,White,2018
1.0,I don't know,No,No,,No,0.0,I don't know,Very easy,Maybe,Maybe,26-100,3.0,No,No,34.0,Male,United Kingdom,,2018
,,,No,,I don't know,,,,,,,2.0,I've always been self-employed,I've always been self-employed,50.0,male,Austria,,2018
,,,Yes,Yes,Yes,,,,,,,1.0,"Yes, I observed",No,51.0,Male,United States of America,White,2018
1.0,Yes,Yes,Possibly,,No,0.0,Yes,Neither easy nor difficult,Yes,No,26-100,3.0,No,"Yes, I observed",35.0,Male,United States of America,White,2018
1.0,I don't know,Yes,Yes,Yes,Yes,0.0,No,Difficult,No,Maybe,100-500,1.0,"Yes, I observed",No,34.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Maybe,Yes,26-100,2.0,"Yes, I experienced","Yes, I experienced",24.0,gender non-conforming woman,United States of America,White,2018
1.0,Yes,Yes,No,,No,0.0,Yes,Somewhat difficult,Maybe,Maybe,26-100,1.0,No,No,37.0,Male,United States of America,White,2018
0.0,No,No,Yes,Yes,Yes,1.0,I don't know,Difficult,Yes,Yes,26-100,2.0,Maybe/Not sure,Maybe/Not sure,24.0,Female ,United States of America,White,2018
1.0,Not eligible for coverage / NA,,Possibly,,I don't know,0.0,I don't know,Somewhat easy,No,No,1-5,1.0,No,No,46.0,Male,United States of America,White,2018
1.0,I don't know,No,Possibly,,I don't know,1.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,31.0,m,United States of America,White,2018
,,,Yes,Yes,I don't know,,,,,,,1.0,No,No,35.0,M,United States of America,Asian,2018
1.0,Yes,Yes,No,,Yes,0.0,Yes,Very easy,Yes,Yes,100-500,1.0,No,"Yes, I observed",40.0,Male ,United States of America,White,2018
1.0,Yes,No,Yes,Yes,I don't know,1.0,Yes,Somewhat easy,Yes,Yes,6-25,3.0,Maybe/Not sure,Maybe/Not sure,28.0,male,United States of America,White,2018
1.0,I don't know,No,No,,Yes,0.0,I don't know,Very easy,Maybe,Maybe,6-25,1.0,No,No,28.0,Male,United States of America,More than one of the above,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Difficult,No,No,100-500,3.0,"Yes, I experienced",No,39.0,Male,Finland,,2018
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,I don't know,Maybe,Maybe,100-500,3.0,No,No,31.0,Male,United States of America,,2018
1.0,Yes,Yes,Possibly,,I don't know,1.0,I don't know,Somewhat easy,Yes,Yes,6-25,2.0,Maybe/Not sure,Maybe/Not sure,27.0,Male,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,I don't know,No,Yes,More than 1000,2.0,"Yes, I observed",Maybe/Not sure,35.0,Male,United States of America,White,2018
,,,Don't Know,,Yes,,,,,,,2.0,Maybe/Not sure,"Yes, I experienced",45.0,Male,United States of America,White,2020
,,,Yes,Yes,Yes,,,,,,,5.0,"Yes, I observed","Yes, I observed",24.0,female,Russia,,2020
,,,Yes,No,Yes,,,,,,,1.0,"Yes, I experienced","Yes, I experienced",46.0,Male,India,,2020
,,,Yes,No,Yes,,,,,,,1.0,No,Maybe/Not sure,25.0,Female,Canada,,2020
,,,Don't Know,,I don't know,,,,,,,3.0,"Yes, I observed",Maybe/Not sure,25.0,F,Canada,,2020
,,,No,,No,,,,,,,1.0,"Yes, I experienced",Maybe/Not sure,5.0,f,United States of America,Asian,2020
,,,Yes,Yes,Yes,,,,,,,1.0,"Yes, I observed","Yes, I observed",1.0,,Japan,,2020
,,,Possibly,,Yes,,,,,,,2.0,"Yes, I observed",Maybe/Not sure,35.0,Male,United States of America,White,2020
,,,No,,No,,,,,,,4.0,Maybe/Not sure,No,34.0,female,Ireland,,2020
,,,No,,No,,,,,,,2.0,No,No,23.0,Female,Turkey,,2020
,,,Yes,Yes,Yes,,,,,,,3.0,Maybe/Not sure,No,42.0,female,United States of America,White,2020
,,,Yes,Yes,Yes,,,,,,,2.0,Maybe/Not sure,No,54.0,male,United States of America,White,2020
,,,No,,Yes,,,,,,,2.0,No,"Yes, I observed",40.0,Female,Canada,,2020
,,,Yes,Yes,Yes,,,,,,,1.0,"Yes, I experienced",No,36.0,Female,United States of America,White,2020
,,,Yes,Yes,I don't know,,,,,,,5.0,"Yes, I experienced","Yes, I experienced",30.0,male,Australia,,2020
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced","Yes, I observed",22.0,male,Mongolia,,2020
,,,Yes,Yes,Yes,,,,,,,3.0,No,No,21.0,Female,United States of America,White,2020
,,,Yes,Yes,Yes,,,,,,,1.0,No,No,46.0,male,United States of America,White,2020
,,,No,,No,,,,,,,3.0,"Yes, I observed",Maybe/Not sure,63.0,Male,United Kingdom,,2020
,,,Yes,Yes,No,,,,,,,2.0,"Yes, I observed",No,20.0,Male,Cameroon,,2020
,,,No,,No,,,,,,,3.0,No,No,24.0,mail,Pakistan,,2020
,,,Don't Know,,I don't know,,,,,,,3.0,I've always been self-employed,I've always been self-employed,44.0,Male,Brazil,,2020
,,,Possibly,,I don't know,,,,,,,1.0,"Yes, I observed","Yes, I observed",35.0,male,India,,2020
,,,No,,No,,,,,,,2.0,Maybe/Not sure,"Yes, I observed",30.0,Female,Australia,,2020
,,,Possibly,,I don't know,,,,,,,4.0,Maybe/Not sure,"Yes, I experienced",23.0,Female,Russia,,2020
0.0,Yes,No,Possibly,,Yes,0.0,I don't know,Very easy,Yes,Maybe,More than 1000,4.0,"Yes, I observed","Yes, I observed",26.0,male,United States of America,White,2020
1.0,No,No,Don't Know,,No,0.0,I don't know,Somewhat easy,Maybe,Yes,500-1000,3.0,No,Maybe/Not sure,32.0,Male,India,,2020
1.0,I don't know,No,Possibly,,I don't know,0.0,I don't know,Very easy,No,No,6-25,3.0,Maybe/Not sure,No,34.0,Male,United States of America,More than one of the above,2020
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,26-100,4.0,No,"Yes, I observed",44.0,female,United States of America,White,2020
1.0,No,No,Possibly,,No,0.0,Yes,Difficult,No,No,500-1000,3.0,No,"Yes, I experienced",33.0,M,India,,2020
1.0,Yes,No,Yes,Yes,I don't know,1.0,Yes,Neither easy nor difficult,Maybe,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",38.0,Male,Philippines,,2020
0.0,I don't know,No,Yes,Yes,No,0.0,Yes,Somewhat difficult,Yes,No,More than 1000,4.0,Maybe/Not sure,Maybe/Not sure,45.0,m,United States of America,Asian,2020
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Maybe,Maybe,More than 1000,4.0,No,No,27.0,F,India,,2020
1.0,I don't know,No,Don't Know,,I don't know,0.0,Yes,Somewhat easy,Maybe,No,26-100,3.0,No,No,21.0,male,Sri Lanka,,2020
1.0,I don't know,No,Possibly,,No,0.0,I don't know,Neither easy nor difficult,No,No,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,30.0,Female,United States of America,Asian,2020
0.0,I don't know,No,No,,No,0.0,Yes,Somewhat difficult,Yes,Maybe,More than 1000,3.0,No,No,44.0,Male,India,,2020
0.0,Yes,Yes,Possibly,,No,0.0,I don't know,Somewhat easy,No,Maybe,More than 1000,2.0,Maybe/Not sure,No,32.0,Male,Brazil,,2020
1.0,Yes,No,No,,No,0.0,Yes,Difficult,No,No,More than 1000,3.0,"Yes, I experienced","Yes, I observed",39.0,f,India,,2020
0.0,No,Yes,Yes,Yes,I don't know,0.0,I don't know,I don't know,No,No,100-500,3.0,Maybe/Not sure,No,27.0,Woman,Poland,,2020
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",34.0,Male,United States of America,,2020
1.0,No,No,No,,No,0.0,I don't know,I don't know,No,Maybe,26-100,1.0,No,No,30.0,male,Taiwan,,2020
1.0,No,,Possibly,,I don't know,0.0,I don't know,Difficult,No,Yes,26-100,1.0,"Yes, I observed",No,24.0,Male,Australia,,2020
1.0,Not eligible for coverage / NA,No,No,,No,0.0,I don't know,Difficult,No,No,More than 1000,2.0,No,Maybe/Not sure,50.0,Male,India,,2020
1.0,Yes,Yes,No,,No,0.0,I don't know,Very easy,Yes,Maybe,More than 1000,2.0,No,No,27.0,Male,United States of America,White,2020
1.0,Yes,No,Possibly,,Yes,0.0,Yes,Somewhat easy,No,Yes,100-500,2.0,No,"Yes, I experienced",28.0,Male,United Kingdom,,2020
1.0,I don't know,No,No,,No,0.0,I don't know,Difficult,No,Yes,More than 1000,3.0,No,No,27.0,female,India,,2020
1.0,I don't know,No,Yes,Yes,Yes,0.0,Yes,Difficult,Maybe,No,500-1000,1.0,No,No,34.0,Male,United States of America,White,2020
1.0,No,No,Don't Know,,I don't know,0.0,I don't know,Neither easy nor difficult,No,Yes,100-500,3.0,"Yes, I experienced",No,42.0,M,India,,2020
1.0,Yes,Yes,Yes,No,No,0.0,No,Somewhat easy,Maybe,Maybe,500-1000,5.0,Maybe/Not sure,"Yes, I observed",22.0,,Indonesia,,2020
1.0,No,No,Possibly,,No,0.0,No,Difficult,No,No,100-500,1.0,"Yes, I experienced",No,28.0,female,India,,2020
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Yes,Yes,26-100,3.0,No,"Yes, I observed",36.0,Male,United States of America,Asian,2020
0.0,No,Yes,Possibly,,No,0.0,I don't know,Somewhat easy,No,No,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,41.0,Male,India,,2020
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat difficult,Maybe,Maybe,6-25,3.0,Maybe/Not sure,Maybe/Not sure,30.0,male,United States of America,White,2020
0.0,I don't know,No,Don't Know,,I don't know,0.0,Yes,Somewhat easy,Maybe,Maybe,100-500,3.0,No,Maybe/Not sure,34.0,male,Australia,,2020
0.0,I don't know,No,Possibly,,No,0.0,I don't know,Somewhat easy,No,Maybe,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,23.0,female,Germany,,2020
0.0,No,,Don't Know,,No,0.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,2.0,Maybe/Not sure,"Yes, I observed",29.0,female,Brazil,,2020
0.0,Yes,Yes,No,,No,0.0,Yes,Somewhat easy,No,No,500-1000,3.0,No,"Yes, I observed",58.0,male,United States of America,White,2020
0.0,I don't know,No,Don't Know,,No,0.0,I don't know,I don't know,Maybe,Maybe,100-500,3.0,Maybe/Not sure,"Yes, I experienced",40.0,Male,Netherlands,,2020
1.0,Not eligible for coverage / NA,No,Yes,Yes,Yes,1.0,I don't know,Difficult,No,Maybe,100-500,2.0,"Yes, I experienced",Maybe/Not sure,32.0,Male,Chile,,2020
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,100-500,2.0,"Yes, I observed",Maybe/Not sure,30.0,Male,Portugal,,2020
0.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,500-1000,4.0,No,"Yes, I experienced",33.0,FEMALE,United States of America,White,2020
0.0,I don't know,No,No,,No,1.0,Yes,Somewhat difficult,Yes,Yes,26-100,3.0,Maybe/Not sure,Maybe/Not sure,22.0,f,Netherlands,,2020
1.0,Yes,No,Possibly,,No,0.0,Yes,Very easy,Maybe,No,More than 1000,3.0,No,No,30.0,F,United States of America,Asian,2020
1.0,No,,Yes,Yes,Yes,1.0,No,Difficult,No,Yes,6-25,1.0,"Yes, I experienced",No,34.0,Male,South Africa,,2020
0.0,Yes,No,Possibly,,I don't know,1.0,I don't know,Neither easy nor difficult,Yes,Yes,6-25,3.0,Maybe/Not sure,"Yes, I experienced",44.0,Male,United States of America,White,2020
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Very easy,Maybe,Maybe,26-100,2.0,"Yes, I observed","Yes, I experienced",30.0,Male,United States of America,White,2020
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,Difficult,No,Maybe,100-500,3.0,No,No,39.0,Male,United States of America,White,2020
1.0,Yes,Yes,Don't Know,,No,0.0,I don't know,Somewhat difficult,Maybe,Yes,500-1000,4.0,No,Maybe/Not sure,48.0,M,India,,2020
0.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Difficult,No,No,26-100,2.0,Maybe/Not sure,No,26.0,Male,United States of America,White,2020
0.0,I don't know,Yes,Possibly,,Yes,0.0,Yes,Somewhat easy,Maybe,Maybe,26-100,3.0,No,No,28.0,female,Germany,,2020
1.0,Yes,No,Possibly,,I don't know,0.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,36.0,Male,United States of America,White,2020
1.0,I don't know,No,No,,No,0.0,I don't know,Very easy,Maybe,Maybe,6-25,3.0,Maybe/Not sure,No,37.0,Male,Canada,,2020
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,1.0,Maybe/Not sure,No,42.0,Male,United States of America,White,2020
1.0,Yes,Yes,Don't Know,,Yes,0.0,I don't know,I don't know,No,No,More than 1000,2.0,"Yes, I observed","Yes, I observed",31.0,Male,Brazil,,2020
0.0,I don't know,,No,,I don't know,0.0,I don't know,Somewhat easy,Yes,No,More than 1000,3.0,No,No,22.0,male,Spain,,2020
1.0,I don't know,No,Yes,Yes,Yes,0.0,No,Very easy,No,Maybe,100-500,2.0,No,No,40.0,male,Spain,,2020
1.0,Yes,Yes,No,,No,0.0,Yes,Neither easy nor difficult,No,No,More than 1000,4.0,No,Maybe/Not sure,50.0,M,United States of America,I prefer not to answer,2020
1.0,I don't know,No,No,,No,0.0,I don't know,Difficult,Maybe,No,More than 1000,3.0,No,Maybe/Not sure,31.0,female,India,,2020
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,More than 1000,3.0,Maybe/Not sure,"Yes, I experienced",29.0,"female, she/her",Canada,,2020
0.0,No,No,Possibly,,No,0.0,I don't know,Somewhat difficult,No,No,100-500,2.0,No,No,40.0,Male,India,,2020
0.0,No,No,Possibly,,No,0.0,I don't know,Somewhat difficult,Maybe,No,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,33.0,female,Canada,,2020
1.0,I don't know,No,No,,No,0.0,I don't know,Somewhat easy,No,Maybe,26-100,3.0,"Yes, I observed",No,29.0,Male,Sweden,,2020
1.0,I don't know,No,No,,No,1.0,I don't know,Very easy,Maybe,Maybe,More than 1000,4.0,No,Maybe/Not sure,27.0,female,United States of America,White,2020
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Somewhat easy,Maybe,Maybe,More than 1000,3.0,"Yes, I observed","Yes, I experienced",36.0,Male,United States of America,White,2020
0.0,Yes,Yes,Possibly,,No,0.0,I don't know,I don't know,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,33.0,Female,United States of America,White,2020
1.0,I don't know,,Possibly,,Yes,0.0,I don't know,Somewhat easy,No,No,6-25,1.0,"Yes, I observed",No,40.0,Male,Sweden,,2020
1.0,Yes,Yes,No,,Yes,1.0,Yes,I don't know,Yes,Yes,26-100,3.0,Maybe/Not sure,Maybe/Not sure,42.0,Male,Canada,,2020
1.0,I don't know,No,Possibly,,Yes,1.0,I don't know,I don't know,Maybe,Maybe,500-1000,3.0,No,No,31.0,Male,United Kingdom,,2020
0.0,Yes,Yes,Possibly,,No,0.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,4.0,Maybe/Not sure,"Yes, I experienced",35.0,female,Mongolia,,2020
0.0,Yes,Yes,Possibly,,I don't know,0.0,Yes,Somewhat easy,Maybe,Maybe,More than 1000,3.0,No,"Yes, I observed",46.0,male,United States of America,White,2020
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,100-500,2.0,"Yes, I experienced","Yes, I experienced",54.0,female,United States of America,White,2020
0.0,I don't know,No,No,,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,500-1000,3.0,No,No,33.0,Male,India,,2020
1.0,No,No,No,,I don't know,0.0,No,Difficult,No,Yes,100-500,3.0,"Yes, I observed",No,40.0,Female,India,,2020
0.0,I don't know,No,Don't Know,,No,0.0,Yes,Neither easy nor difficult,Yes,Yes,100-500,4.0,No,No,23.0,Female,Serbia,,2020
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,No,500-1000,2.0,"Yes, I observed",No,32.0,Male,United States of America,White,2020
1.0,Yes,Yes,Possibly,,Yes,0.0,Yes,Difficult,No,Maybe,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,26.0,Woman,United States of America,Asian,2020
0.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,4.0,No,Maybe/Not sure,30.0,Male,Germany,,2020
1.0,No,,No,,No,0.0,I don't know,Very easy,Maybe,No,More than 1000,5.0,No,No,30.0,Male,India,,2020
1.0,Yes,No,Yes,Yes,No,1.0,Yes,Somewhat easy,Maybe,Maybe,26-100,3.0,Maybe/Not sure,"Yes, I observed",44.0,male,United States of America,White,2020
1.0,Not eligible for coverage / NA,No,No,,No,0.0,I don't know,Somewhat difficult,No,No,100-500,2.0,"Yes, I observed",Maybe/Not sure,37.0,Male,United States of America,White,2020
1.0,I don't know,No,Don't Know,,No,0.0,No,Somewhat easy,Yes,Yes,More than 1000,2.0,No,"Yes, I observed",37.0,Male,India,,2020
1.0,Yes,No,Don't Know,,No,0.0,I don't know,I don't know,No,No,500-1000,2.0,"Yes, I observed",No,29.0,Female,Brazil,,2020
1.0,Yes,No,No,,I don't know,0.0,I don't know,Very easy,Yes,No,26-100,4.0,No,Maybe/Not sure,39.0,male,United States of America,White,2020
1.0,I don't know,,Yes,Yes,No,1.0,I don't know,Very easy,Maybe,No,6-25,4.0,No,"Yes, I experienced",20.0,Male,Spain,,2020
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,Neither easy nor difficult,No,No,100-500,2.0,"Yes, I observed",Maybe/Not sure,44.0,Male,United States of America,White,2020
1.0,No,Yes,Don't Know,,No,0.0,No,I don't know,No,Maybe,26-100,2.0,"Yes, I observed",No,23.0,male,Egypt,,2020
1.0,Yes,No,No,,Yes,0.0,Yes,Very easy,Yes,Maybe,More than 1000,3.0,No,Maybe/Not sure,22.0,Female,United States of America,Asian,2020
1.0,I don't know,No,No,,No,0.0,I don't know,I don't know,No,No,More than 1000,3.0,No,No,31.0,female,United States of America,Asian,2020
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,Neither easy nor difficult,Maybe,Maybe,26-100,4.0,No,Maybe/Not sure,59.0,male,United States of America,White,2020
0.0,No,,No,,No,0.0,Yes,Somewhat difficult,No,No,More than 1000,3.0,No,Maybe/Not sure,30.0,Female,India,,2020
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Somewhat easy,Yes,Maybe,26-100,4.0,"Yes, I observed","Yes, I observed",48.0,F,United States of America,White,2020
1.0,I don't know,No,Don't Know,,No,0.0,Yes,Somewhat difficult,No,No,More than 1000,3.0,"Yes, I observed","Yes, I observed",30.0,female,India,,2020
1.0,Yes,Yes,No,,No,0.0,Yes,Neither easy nor difficult,No,No,More than 1000,4.0,No,"Yes, I observed",23.0,male,Germany,,2020
0.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,No,No,500-1000,3.0,No,No,27.0,Male,United States of America,Asian,2020
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Somewhat difficult,No,Maybe,26-100,3.0,"Yes, I experienced",No,53.0,female,United States of America,White,2020
0.0,I don't know,,No,,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,500-1000,3.0,Maybe/Not sure,Maybe/Not sure,62.0,Male,United States of America,White,2020
1.0,Yes,Yes,Possibly,,Yes,0.0,I don't know,Difficult,Maybe,Yes,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",32.0,mostly male,United States of America,White,2020
1.0,No,No,No,,No,1.0,I don't know,I don't know,Maybe,Yes,More than 1000,1.0,No,No,34.0,Male,India,,2020
0.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Somewhat easy,No,No,More than 1000,3.0,No,No,29.0,male,India,,2020
0.0,I don't know,,Don't Know,,No,0.0,I don't know,Neither easy nor difficult,Yes,Maybe,More than 1000,3.0,No,No,32.0,Female,India,,2020
0.0,No,No,Don't Know,,No,0.0,Yes,Somewhat easy,Yes,Yes,500-1000,2.0,No,No,46.0,Male,Brazil,,2020
1.0,No,,Yes,Yes,Yes,1.0,No,Very easy,Yes,Yes,More than 1000,1.0,Maybe/Not sure,"Yes, I experienced",42.0,male,Netherlands,,2020
1.0,No,,Possibly,,I don't know,1.0,No,Somewhat difficult,No,Maybe,26-100,3.0,"Yes, I experienced","Yes, I experienced",32.0,Male,Ukraine,,2020
0.0,I don't know,Yes,Yes,Yes,Yes,0.0,I don't know,Very easy,Yes,Maybe,More than 1000,2.0,Maybe/Not sure,"Yes, I observed",28.0,male,Iceland,,2020
1.0,No,,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,No,6-25,3.0,No,"Yes, I observed",45.0,Male,United States of America,White,2020
1.0,No,,No,,No,1.0,Yes,Somewhat easy,Maybe,Yes,26-100,2.0,Maybe/Not sure,"Yes, I observed",29.0,Female,Spain,,2020
0.0,Yes,Yes,Possibly,,No,0.0,I don't know,I don't know,No,No,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,27.0,M,Colombia,,2020
1.0,No,,Possibly,,No,1.0,I don't know,Very easy,Yes,Yes,6-25,1.0,No,Maybe/Not sure,47.0,male,Netherlands,,2020
1.0,I don't know,No,Don't Know,,I don't know,0.0,I don't know,Very easy,Maybe,No,100-500,4.0,"Yes, I observed","Yes, I observed",24.0,Female,Philippines,,2020
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,More than 1000,5.0,"Yes, I experienced",Maybe/Not sure,32.0,female,United States of America,Black or African American,2020
0.0,Yes,Yes,No,,I don't know,0.0,I don't know,Somewhat easy,No,Yes,100-500,4.0,No,"Yes, I observed",26.0,Male,United States of America,Asian,2020
0.0,No,,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,100-500,4.0,"Yes, I observed","Yes, I experienced",34.0,male,Germany,,2020
1.0,Yes,No,No,,I don't know,0.0,I don't know,Somewhat easy,Yes,Yes,26-100,4.0,"Yes, I experienced","Yes, I observed",45.0,cisgender male,United States of America,White,2020
